City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
402,Finschhafen,PG,80.58,heavy intensity rain,-6.6024,147.8681,Cossam Guest House
404,Odienne,CI,77.67,overcast clouds,9.51,-7.5692,Oustaz Vame DIAKITE
405,Gat,IL,76.41,scattered clouds,31.61,34.7642,OlusHome
409,Male,MV,80.55,broken clouds,4.1748,73.5089,Hotel Octave Maldives
412,Vanimo,PG,77.88,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
415,Vila Do Maio,CV,75.99,overcast clouds,15.1333,-23.2167,Hotel Marilu
422,Santa Maria,BR,78.1,broken clouds,-29.6842,-53.8069,Hotel Morotin
423,Pundaguitan,PH,80.94,overcast clouds,6.3711,126.1689,Leonardo Family Beach House 1
432,Tecoanapa,MX,83.14,few clouds,16.5167,-98.75,Hotel Manglares
434,Binabalian,PH,82.4,overcast clouds,16.4202,119.9279,Sundowners Vacation Villas
439,Tautira,PF,86.02,light rain,-17.7333,-149.15,Pension Oaoa
449,Diffa,NE,78.13,overcast clouds,13.3154,12.6113,ProDAF/Diffa
451,Bathsheba,BB,84.81,scattered clouds,13.2167,-59.5167,Atlantis Hotel
456,Ambon,ID,77.14,scattered clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
458,Lethem,GY,88.95,broken clouds,3.3803,-59.7968,Savannah Inn
459,Bilma,NE,75.81,broken clouds,18.6853,12.9164,Expeditions Ténére voyages
466,Kimbe,PG,78.48,moderate rain,-5.5502,150.1429,Kimbe Bay Hotel
469,Monrovia,LR,79.97,light rain,6.3005,-10.7969,Sunset Inn
472,Aswan,EG,79.47,clear sky,24.0934,32.907,Nuba Nile
475,Pochutla,MX,87.82,clear sky,15.7432,-96.4661,Hotel Posada San Jose
485,Nortelandia,BR,82.87,overcast clouds,-14.4547,-56.8028,Hotel Karysmã
486,Alta Floresta,BR,89.42,heavy intensity rain,-9.8756,-56.0861,Floresta Amazonica Hotel
487,Saint-Pierre,RE,76.64,few clouds,-21.3393,55.4781,Lindsey Hôtel
489,Balsas,BR,81.5,light rain,-7.5325,-46.0356,Novo Hotel
491,Galeras,CO,86.07,overcast clouds,9.161,-75.0481,Finca el Naranjal
496,Auki,SB,81.27,overcast clouds,-8.7676,160.7034,Auki Motel
499,Tual,ID,83.5,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
