City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
110,Weyburn,CA,49.6668,-103.8511,42.19,81,66,9.22,broken clouds
111,Buta,CD,2.7858,24.73,69.53,98,100,1.3,light rain
112,Sao Filipe,CV,14.8961,-24.4956,75.99,68,100,14.03,overcast clouds
113,Margate,GB,51.3813,1.3862,39.04,75,58,3.0,broken clouds
114,Tasiilaq,GL,65.6145,-37.6368,24.96,94,100,10.98,light snow
115,Avarua,CK,-21.2078,-159.775,78.85,61,75,12.66,broken clouds
116,Beloha,MG,-25.1667,45.05,68.88,81,1,13.13,clear sky
117,Bambous Virieux,MU,-20.3428,57.7575,74.21,78,20,3.44,few clouds
118,Hithadhoo,MV,-0.6,73.0833,81.05,80,37,14.9,scattered clouds
119,Nome,US,64.5011,-165.4064,-18.33,69,1,4.61,clear sky
120,Yellowknife,CA,62.456,-114.3525,-10.59,79,20,1.01,few clouds
121,Huarmey,PE,-10.0681,-78.1522,71.78,75,50,11.68,scattered clouds
122,Bengkulu,ID,-3.8004,102.2655,75.38,88,98,9.8,overcast clouds
123,Praia,CV,14.9215,-23.5087,75.74,69,20,21.85,few clouds
124,Lodja,CD,-3.4833,23.4333,69.55,94,100,1.23,overcast clouds
125,Ahipara,NZ,-35.1667,173.1667,66.72,71,28,3.58,scattered clouds
126,Baykit,RU,61.67,96.37,-0.67,98,100,3.24,overcast clouds
127,Fairbanks,US,64.8378,-147.7164,-12.41,67,75,0.0,broken clouds
128,Mar Del Plata,AR,-38.0023,-57.5575,64.42,90,75,17.0,broken clouds
129,Buchanan,LR,5.8808,-10.0467,79.7,81,98,6.55,light rain
130,Avera,US,33.194,-82.5271,58.75,31,0,4.92,clear sky
131,Anadyr,RU,64.75,177.4833,1.0,84,75,1.99,light snow
132,Broome,US,42.2506,-75.833,35.22,69,20,5.99,light snow
133,Maunabo,PR,18.0072,-65.8993,89.42,77,39,8.66,scattered clouds
134,Buraydah,SA,26.326,43.975,59.45,25,0,3.18,clear sky
135,Pevek,RU,69.7008,170.3133,1.06,96,100,3.85,overcast clouds
136,Xuddur,SO,4.1213,43.8894,78.58,34,95,10.0,overcast clouds
137,Torbay,CA,47.6666,-52.7314,44.67,84,75,5.75,broken clouds
138,Eureka,US,40.8021,-124.1637,62.2,67,97,7.31,overcast clouds
139,Castro,BR,-24.7911,-50.0119,74.39,75,46,8.46,scattered clouds
140,Fortuna,US,40.5982,-124.1573,61.93,81,1,3.0,clear sky
141,Saint-Denis,FR,48.9167,2.3333,38.14,89,0,5.75,clear sky
142,Dunedin,NZ,-45.8742,170.5036,59.61,56,58,5.61,broken clouds
143,Verkhnevilyuysk,RU,63.4453,120.3167,-12.86,97,100,2.66,overcast clouds
144,Copiapo,CL,-27.3667,-70.3333,64.09,36,0,10.67,clear sky
145,Saint-Francois,FR,46.4154,3.9054,35.47,89,90,1.14,overcast clouds
146,Sabang,ID,5.8933,95.3214,76.84,83,100,0.72,light rain
147,Igarka,RU,67.4667,86.5833,-5.51,98,100,11.56,light snow
148,Quarai,BR,-30.3875,-56.4514,81.75,38,21,16.11,few clouds
149,Belaya Gora,RU,68.5333,146.4167,-10.46,99,100,4.74,overcast clouds
150,Ojinaga,MX,29.5667,-104.4167,71.56,48,1,4.61,clear sky
151,Kruisfontein,ZA,-34.0033,24.7314,58.89,83,2,3.71,clear sky
152,Ribeira Grande,PT,38.5167,-28.7,59.4,67,20,3.44,few clouds
153,Port Hardy,CA,50.6996,-127.4199,48.38,100,75,3.44,light rain
154,Srednekolymsk,RU,67.45,153.6833,-19.59,98,100,4.94,overcast clouds
155,Boddam,GB,57.4667,-1.7833,46.78,85,97,27.51,overcast clouds
156,Severnyy,RU,50.677,36.5532,51.84,87,75,24.61,broken clouds
157,Canico,PT,32.6333,-16.85,64.71,84,40,1.01,scattered clouds
158,Vila Velha,BR,-20.3297,-40.2925,80.55,88,40,8.01,scattered clouds
159,Uyuni,BO,-20.4597,-66.825,67.17,6,51,16.75,broken clouds
160,Atar,MR,20.5169,-13.0499,67.1,24,5,10.0,clear sky
