City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
116,Parrita,CR,2021-11-24 05:53:04,9.5201,-84.3225,80.37,86,100,4.88
117,Yining,CN,2021-11-24 05:53:05,29.0361,114.5636,63.66,30,0,1.36
118,Upernavik,GL,2021-11-24 05:53:05,72.7868,-56.1549,11.14,62,100,6.64
119,Chokurdakh,RU,2021-11-24 05:53:05,70.6333,147.9167,-21.39,98,100,3.2
120,Solnechnyy,RU,2021-11-24 05:53:06,50.7214,136.6319,15.85,88,80,1.59
121,Varangaon,IN,2021-11-24 05:53:06,21.0167,75.9,87.39,41,88,6.76
122,Miram Shah,PK,2021-11-24 05:53:07,33.0086,70.0697,66.56,18,0,1.95
123,Touros,BR,2021-11-24 05:48:57,-5.1989,-35.4608,77.9,79,98,9.4
124,Constitucion,CL,2021-11-24 05:53:07,-35.3333,-72.4167,55.09,88,71,11.23
125,Sao Filipe,CV,2021-11-24 05:53:07,14.8961,-24.4956,78.84,71,95,4.63
126,Nabire,ID,2021-11-24 05:53:08,-3.3667,135.4833,80.82,81,99,2.75
127,Banda Aceh,ID,2021-11-24 05:53:08,5.5577,95.3222,83.86,74,100,4.99
128,Tabas,IR,2021-11-24 05:53:08,33.5959,56.9244,63.86,45,2,2.68
129,Gravdal,NO,2021-11-24 05:53:08,68.1214,13.5031,29.88,67,93,22.59
130,Telimele,GN,2021-11-24 05:53:09,10.9167,-13.3333,67.59,67,100,1.77
131,Hasaki,JP,2021-11-24 05:53:09,35.7333,140.8333,61.09,29,2,7.99
132,Wamba,NG,2021-11-24 05:53:10,8.9333,8.6,72.63,41,78,0.98
133,Bambous Virieux,MU,2021-11-24 05:53:10,-20.3428,57.7575,82.65,65,40,16.11
134,Inyonga,TZ,2021-11-24 05:53:10,-6.7167,32.0667,78.17,55,37,1.92
135,Urumqi,CN,2021-11-24 05:53:11,43.801,87.6005,36.55,45,0,4.47
136,Hambantota,LK,2021-11-24 05:53:11,6.1241,81.1185,80.94,94,20,9.22
137,Ilebo,CD,2021-11-24 05:53:12,-4.3167,20.5833,70.86,99,100,0.76
138,Port Macquarie,AU,2021-11-24 05:54:12,-31.4333,152.9167,74.89,88,100,13.89
139,Havoysund,NO,2021-11-24 05:54:12,70.9963,24.6622,23.23,73,95,10.38
140,Moa,CU,2021-11-24 05:54:13,20.6569,-74.9403,75.38,84,27,2.93
141,Flin Flon,CA,2021-11-24 05:54:13,54.7682,-101.865,-4.72,92,73,7.58
142,Mapiri,BO,2021-11-24 05:54:13,-15.25,-68.1667,67.98,95,100,2.24
143,Novo Selo,MK,2021-11-24 05:54:13,41.4139,22.8811,47.59,88,100,3.74
144,Meulaboh,ID,2021-11-24 05:54:14,4.1363,96.1285,83.23,75,93,6.62
145,Sudak,UA,2021-11-24 05:54:14,44.85,34.9667,37.38,62,13,9.33
146,Manokwari,ID,2021-11-24 05:54:15,-0.8667,134.0833,83.17,76,89,9.13
147,Havre-Saint-Pierre,CA,2021-11-24 05:54:15,50.2334,-63.5986,28.76,80,90,12.66
148,Stokmarknes,NO,2021-11-24 05:54:15,68.5646,14.9108,31.5,74,40,5.75
149,Marrakesh,MA,2021-11-24 05:49:37,31.6315,-8.0083,57.27,77,75,3.44
150,Gornyy,RU,2021-11-24 05:54:16,55.1153,83.9059,23.79,92,99,15.66
151,Ouesso,CG,2021-11-24 05:54:16,1.6136,16.0517,73.06,92,42,0.72
152,Kurilsk,RU,2021-11-24 05:54:16,45.2333,147.8833,38.44,55,64,15.37
153,Bengkulu,ID,2021-11-24 05:54:17,-3.8004,102.2655,80.08,72,100,0.34
